,Title,Year,Rating
0,Ratched,(2020– ),7.6
1,Lovecraft Country,(2020– ),7.3
2,The Third Day,(2020– ),6.9
3,The 100,(2014– ),7.7
4,Antebellum,(2020),5.5
5,Supernatural,(2005–2020),8.4
6,Criminal Minds,(2005–2020),8.1
7,Stranger Things,(2016– ),8.8
8,Dark,(2017–2020),8.8
9,Hubie Halloween,(2020),
10,Young Wallander,(2020– ),6.7
11,Knives Out,(2019),7.9
12,Enola Holmes,(2020),
13,The Blacklist,(2013– ),8.0
14,Law & Order: Special Victims Unit,(1999– ),8.0
15,Money Heist,(2017– ),8.4
16,The Vampire Diaries,(2009–2017),7.7
17,Strike,(2017– ),7.9
18,The Witcher,(2019– ),8.2
19,NCIS: Naval Criminal Investigative Service,(2003– ),7.8
20,Westworld,(2016– ),8.7
21,Doctor Who,(2005– ),8.6
22,Doom Patrol,(2019– ),8.0
23,Lost,(2004–2010),8.3
24,Star Trek: The Next Generation,(1987–1994),8.6
25,House M.D.,(2004–2012),8.7
26,Midsomer Murders,(1997– ),7.7
27,Dexter,(2006–2013),8.6
28,Homeland,(2011–2020),8.3
29,How to Get Away with Murder,(2014–2020),8.1
30,The Suicide Squad,(2021),
31,The Gift,(2019– ),7.5
32,Watchmen,(2019),8.1
33,Bones,(2005–2017),7.8
34,The Haunting of Hill House,(2018),8.7
35,Prison Break,(2005–2017),8.3
36,True Detective,(2014– ),9.0
37,Avatar: The Last Airbender,(2005–2008),9.2
38,Sherlock,(2010–2017),9.1
39,Designated Survivor,(2016–2019),7.5
40,Arrow,(2012–2020),7.5
41,Gotham,(2014–2019),7.8
42,Blade Runner 2049,(2017),8.0
43,Zodiac,(2007),7.7
44,The Lighthouse,(I) (2019),7.5
45,The Expanse,(2015– ),8.5
46,Hannibal,(2013–2015),8.5
47,The X Files,(1993–2018),8.6
48,Midsommar,(2019),7.1
49,Memento,(2000),8.4
